id,rid,rating,uid
LE3dxUJBUpGe7JwPCgcjqw,cal0Wpupxj9c_AV7WzDXsw,5,Cqws9VFlJYMOv_hW-1CLvA
1SvEnKxXscuiHFRIK7S-6g,cal0Wpupxj9c_AV7WzDXsw,5,EvTsNJSDoXcWXO8cb4MGRw
IUSPhDL-QzSmuxV3Nq_1bQ,cal0Wpupxj9c_AV7WzDXsw,3,5Cz9qifAxr-pWXvxEciWuQ
Fb1whcqOAGv6bF1EoeQH7w,RVbZaawgEGmto6TxOoVBdQ,5,TDo4mD4wMta1wv1cYWFF2g
7Ss35miG9q3V-yD4G0tCnQ,RVbZaawgEGmto6TxOoVBdQ,5,YV2vDqhUKEiqQ2Nka5kv_w
xqeh4FPQZbcGKWjg1gWurg,RVbZaawgEGmto6TxOoVBdQ,4,NNL1zLTP2J_SOputgoPYeQ
Dx13_WC-xkD5DZ9rn3pOGA,iRjnWYY5oVJTaZ5teU1vOQ,5,0oikN-O5o58ZOYvqEkSS5g
fUBeqL7EdZfaLW_Kfh2g8w,iRjnWYY5oVJTaZ5teU1vOQ,4,QnIrewrXxFnssw_gG1gF-Q
QBf3zX0MtDeAUf55qoEeTg,iRjnWYY5oVJTaZ5teU1vOQ,4,6Zd1SQ2iiKaeU2I5VbT-Yg
ZHS-WbFnKhdqk3Yuh0jB-g,88kri8FhXy8b3DQ_QjSMmQ,5,uVRtwqs5a3hHlsGI4DNm7g
v7ZISGPxKomLmqi9LKrErQ,88kri8FhXy8b3DQ_QjSMmQ,4,GM2idDkuS9fvxcSGktnLPg
4tmTmVWtYKk_RE2wZX9hRQ,88kri8FhXy8b3DQ_QjSMmQ,5,iYdS_3_xA6VaBEnQGT142g
K3lQI98UErSFCO6Yh-FcIQ,HuQtriV_ApipXfM8xax33w,5,8vTHI3Cic3xPUXshOVG4mQ
B7i_BWdDNfKqNq9NjdAfKA,HuQtriV_ApipXfM8xax33w,5,pT4xPeiq98ZjIZk15S-Y4A
4YxAEX77renTGlXI-37Zjw,HuQtriV_ApipXfM8xax33w,4,qkgcnnUPFzQHDmpS1noKfg
omOSwLhkU70ad_eTgYMNYw,h1R2iKYdm2lwukzMJvJqDw,5,VgsRE77_VRfl6fDxnegj8Q
_m36s7Q-s5-A2AioRRG7sw,h1R2iKYdm2lwukzMJvJqDw,3,kIpoEm3HUQufLechG5qYMQ
khF9JfUYCee4Ycflu_8enQ,h1R2iKYdm2lwukzMJvJqDw,5,6rpLhThF04af7Ymez3Iabg
tY6ICS89TrvYSfFaSwLEkQ,z0zaCVA-p_5xTsyUZrmR0g,5,GO34vdfyAvKP8zAeL_aZJg
4umQgA_VwRHQOd_I_dO6_w,z0zaCVA-p_5xTsyUZrmR0g,5,gux_7amNJ7DvIu-PcY8QNg
7uskdfjeYTUNmqdiy-KP-g,z0zaCVA-p_5xTsyUZrmR0g,3,NLlz-mWZrMs_KI9MsW_ZZw
dzf4Y9HLjIM43uO0TR3Cjg,1RJCu-0D5ZEnVRBKwqodGQ,5,2p0q1KuGnSbUWUMcfrN5vQ
gZkng1VUydaBN71T2eZrww,1RJCu-0D5ZEnVRBKwqodGQ,5,xurTbfsIz6qA3RWr6ps4sQ
aNgnVg6DEQ7P8f_oSyGQog,1RJCu-0D5ZEnVRBKwqodGQ,4,VNe7gszhh99NvuYSEF1iNg
KG2EeFc3KS8hl5DiX8ExDw,WO12S4gvOYkYF8_70RWrQA,5,OFjuScB5Ghc5moLQXeZIgA
Q4Fbu9BEmJAeNZz6BoqbNg,WO12S4gvOYkYF8_70RWrQA,5,PFIqCenJlGEjDuG87rtd5Q
TqdNF-Q1HinYrRsWoevfaw,WO12S4gvOYkYF8_70RWrQA,5,Kso1jdejXyQJlPAH3xrYHw
Gui4BsMYgy65UYxM6DcI-A,25fipMHUHLZTq0sVQINi5g,5,GKDGskv_rjOmpXr4Mtni8g
yvFH-vHjdDydoLLxtUB4-g,25fipMHUHLZTq0sVQINi5g,4,U2sQTq4-2pihhAz4wvqPZA
w8mSegJ8NrmMTyAKuUoKFA,25fipMHUHLZTq0sVQINi5g,5,4EPbkzfKILlamGC4d2nLPw
SaVzl2XvtbUDnhxBVOu1_g,XT5o_SKmmpIGvwDKYZw5tg,4,yWTnrGVy33QODm5usZuhUQ
BkEVCnr-evk2G0JEoHNjKQ,XT5o_SKmmpIGvwDKYZw5tg,5,DH4WuSi_W5YP0IqiFyJ3CA
pQ6rLCJCWALuaQrB15EFLw,XT5o_SKmmpIGvwDKYZw5tg,3,G58Gi28T7FkTDIwGMIVnDA
mY0AoXFcTWyL7hVq6ECI0Q,wvaNbC16NuJIQD0g8WPjRw,5,Je8vWLz6IJWNO38BIY5CZw
4xjqwYgCOAEjiz0LkTzcWg,wvaNbC16NuJIQD0g8WPjRw,5,yGp5fYRtZ2q-bAsF0xq4wA
tjMrlT5bd2fQNEqBQ8IUcg,wvaNbC16NuJIQD0g8WPjRw,4,daOs-Se6PzTsvXkb5J6bfw
Px_nOuDZgOdVOcksCsdAjA,dnYh7aAv1O5RwseWGdLOKQ,5,2sj0HfK1-XOUALitzCIkOQ
9McT8cz1IonN7AHJ6AfctA,dnYh7aAv1O5RwseWGdLOKQ,5,ufkZdUQBpt8GGGegE-rSgw
-DTO9NvqrmUQ5tyHQvJimQ,dnYh7aAv1O5RwseWGdLOKQ,4,AdfOCr1pE_y1n43cc1FMQg
GRcUsL8i-kfyE3L6SiiWig,wwTc59Ul8abQO0dLon5jkA,5,-GeyKDvkk5J5uNwojT_CrA
oOBleAzFwwJoZwOY0fMrbw,wwTc59Ul8abQO0dLon5jkA,4,EXwuRs1uxdbW63EVxJf7xA
upT4fD4a6-dQWDHsQd0XKw,wwTc59Ul8abQO0dLon5jkA,2,Ebbd4dM-Ywv9j6hoL5mqVQ
82ny_5b8I6iF9zLhGkaTcw,0SerWqGwzNWpTA2RBLVdUg,5,HRzQkL2TqU8m5GyfRzMO0w
qIXDjy4MajRYeuJvFqr5_A,0SerWqGwzNWpTA2RBLVdUg,5,MZH3vEJtMvOdjEKUb_DOVg
P4LydRIxT_vEhvOEbT4m2Q,0SerWqGwzNWpTA2RBLVdUg,5,Mb-LZU09rEInbZLuPMunyQ
B6PIg3--VdfnkmS0XK1F8A,RpljDiS3TghWGL4ZezUxGw,5,9JFKRA4_wLYtm-mnK77YxA
dvWOP7DPLgrwI5WqAt3tOw,RpljDiS3TghWGL4ZezUxGw,4,ZfBGotHwXNFEPrUtZdDp4Q
WgtWGsSL4QXsc40D5jw3zw,RpljDiS3TghWGL4ZezUxGw,4,xipyrIBO-r1j6PLJ7sIduA
K5B6zEQTAmgK6rgn96KRWg,1QLYTXPsRP4d7-VUtgmVew,5,plt6ukjMlYlic-jK0Ujhxw
qc1zzS2HKIbOrTDPlwF0ew,1QLYTXPsRP4d7-VUtgmVew,1,j7V8esBDcMVW43M2rli_TQ
Y3KHstVTzbE4r6djss3KDw,1QLYTXPsRP4d7-VUtgmVew,5,xp7WelWoFyPeACS_XovaPQ
O7JSPC_WhI6dB1KQrxJWNA,vs8USEc1A480H8MnmFKs5A,5,KD-6Pqk2RGqT2FNxwn6DSQ
IG6z1Dh8T0YS66k6iD-M-A,vs8USEc1A480H8MnmFKs5A,4,m98xRqao6G4Ia1f5WV_RyA
cv64cT7cY2dEz_lYdVvJvQ,vs8USEc1A480H8MnmFKs5A,1,dwd9iyTtmt28hsCMiXK16A
4xpqwomx8ovpeNZhRnzqEQ,irWMpwJ1JFx5ih4TTQVo6Q,4,X1IMsg8ZOV7uGMUHJ5vdWg
vV1RXWpAgdxsXgXOdqyymA,irWMpwJ1JFx5ih4TTQVo6Q,5,5qooC3A8AO-BzGtA3jHPfw
wC17_6CHetatrteo4Q6-FQ,irWMpwJ1JFx5ih4TTQVo6Q,5,IddVngKDtwjnVzxuH8QNmA
ruYbccf17fI_f_8CzctnOA,BSUDJiaKZwbB8G-GTUst_g,5,_nb8DPNTJDwtWRIGoI-x7Q
NSlWV9VTlIx5T7T4omEfUA,BSUDJiaKZwbB8G-GTUst_g,5,Ggywv2KvkOZV9cLVIt7ysQ
YjUBmHEEBGEDDY2k4vcMbw,BSUDJiaKZwbB8G-GTUst_g,5,nx-GWnN5R2Mh9faT_3eanA
cEPWHT7S32bqKdiGs7Blcw,eHwdLWQrg4nr_3fuiH_jhQ,5,BlkbdA_jAxqb8sIALs2MWA
coXzE5Gc3dJikpkbH3PQSw,eHwdLWQrg4nr_3fuiH_jhQ,5,QzuM-C1l1HGciaacEdB-mQ
XVTum7NuR82nr8WJPNXQEg,eHwdLWQrg4nr_3fuiH_jhQ,5,ZUwHZ-y2_mTAvLs8D7MMQg
39lL8-ZApmZWjSsuw0icfg,LxCr7b3sOLnfDvpfZS7daQ,5,viq9alDWzVGfB6kjBglh4A
